"module name","licenses","repository","licenseUrl","parents"
"d3-geo@1.11.9","BSD-3-Clause","https://github.com/d3/d3-geo","https://github.com/d3/d3-geo/raw/master/LICENSE","acap-sdk"
"d3-hierarchy@1.1.9","BSD-3-Clause","https://github.com/d3/d3-hierarchy","https://github.com/d3/d3-hierarchy/raw/master/LICENSE","acap-sdk"
"d3-interpolate@1.4.0","BSD-3-Clause","https://github.com/d3/d3-interpolate","https://github.com/d3/d3-interpolate/raw/master/LICENSE","acap-sdk"
"d3-path@1.0.9","BSD-3-Clause","https://github.com/d3/d3-path","https://github.com/d3/d3-path/raw/master/LICENSE","acap-sdk"
"d3-polygon@1.0.6","BSD-3-Clause","https://github.com/d3/d3-polygon","https://github.com/d3/d3-polygon/raw/master/LICENSE","acap-sdk"
"d3-quadtree@1.0.7","BSD-3-Clause","https://github.com/d3/d3-quadtree","https://github.com/d3/d3-quadtree/raw/master/LICENSE","acap-sdk"
"d3-random@1.1.2","BSD-3-Clause","https://github.com/d3/d3-random","https://github.com/d3/d3-random/raw/master/LICENSE","acap-sdk"
"d3-sankey@0.12.3","BSD-3-Clause","https://github.com/d3/d3-sankey","https://github.com/d3/d3-sankey/raw/master/LICENSE","acap-sdk"
"d3-scale-chromatic@1.5.0","BSD-3-Clause","https://github.com/d3/d3-scale-chromatic","https://github.com/d3/d3-scale-chromatic/raw/master/LICENSE","acap-sdk"
"d3-scale@1.0.7","BSD-3-Clause","https://github.com/d3/d3-scale","https://github.com/d3/d3-scale/raw/master/LICENSE","svg-utils:acap-sdk"
"d3-scale@2.2.2","BSD-3-Clause","https://github.com/d3/d3-scale","https://github.com/d3/d3-scale/raw/master/LICENSE","d3:acap-sdk"
"d3-scale@3.2.1","BSD-3-Clause","https://github.com/d3/d3-scale","https://github.com/d3/d3-scale/raw/master/LICENSE","acap-sdk"
"d3-selection@1.4.1","BSD-3-Clause","https://github.com/d3/d3-selection","https://github.com/d3/d3-selection/raw/master/LICENSE","acap-sdk"
"d3-shape@1.3.7","BSD-3-Clause","https://github.com/d3/d3-shape","https://github.com/d3/d3-shape/raw/master/LICENSE","acap-sdk"
"d3-time-format@2.2.3","BSD-3-Clause","https://github.com/d3/d3-time-format","https://github.com/d3/d3-time-format/raw/master/LICENSE","acap-sdk"
"d3-time@1.1.0","BSD-3-Clause","https://github.com/d3/d3-time","https://github.com/d3/d3-time/raw/master/LICENSE","acap-sdk"
"d3-timer@1.0.10","BSD-3-Clause","https://github.com/d3/d3-timer","https://github.com/d3/d3-timer/raw/master/LICENSE","acap-sdk"
"d3-tip@0.9.1","MIT","https://github.com/Caged/d3-tip","https://github.com/Caged/d3-tip/raw/master/LICENSE","acap-sdk"
"d3-transition@1.3.2","BSD-3-Clause","https://github.com/d3/d3-transition","https://github.com/d3/d3-transition/raw/master/LICENSE","acap-sdk"
"d3-voronoi@1.1.4","BSD-3-Clause","https://github.com/d3/d3-voronoi","https://github.com/d3/d3-voronoi/raw/master/LICENSE","acap-sdk"
"d3-zoom@1.8.3","BSD-3-Clause","https://github.com/d3/d3-zoom","https://github.com/d3/d3-zoom/raw/master/LICENSE","acap-sdk"
"d3@5.15.0","BSD-3-Clause","https://github.com/d3/d3","https://github.com/d3/d3/raw/master/LICENSE","acap-sdk"
"datatables@1.10.18","MIT","https://github.com/DataTables/DataTables","https://github.com/DataTables/DataTables/raw/master/license.txt","acap-sdk"
"debounce@1.2.0","MIT","https://github.com/component/debounce","https://github.com/component/debounce","acap-sdk"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug","https://github.com/visionmedia/debug/raw/master/LICENSE","acap-sdk"
"debug@3.2.6","MIT","https://github.com/visionmedia/debug","https://github.com/visionmedia/debug/raw/master/LICENSE","follow-redirects:acap-sdk"
"debug@4.1.1","MIT","https://github.com/visionmedia/debug","https://github.com/visionmedia/debug/raw/master/LICENSE","spdy-transport:acap-sdk"
"decamelize@1.2.0","MIT","https://github.com/sindresorhus/decamelize","https://github.com/sindresorhus/decamelize/raw/master/license","acap-sdk"
"decode-uri-component@0.2.0","MIT","https://github.com/SamVerschueren/decode-uri-component","https://github.com/SamVerschueren/decode-uri-component/raw/master/license","acap-sdk"
"deep-equal@1.1.1","MIT","https://github.com/substack/node-deep-equal","https://github.com/substack/node-deep-equal/raw/master/LICENSE","acap-sdk"
"deep-extend@0.6.0","MIT","https://github.com/unclechu/node-deep-extend","https://github.com/unclechu/node-deep-extend/raw/master/LICENSE","fsevents:watchpack:acap-sdk"
"default-gateway@4.2.0","BSD-2-Clause","https://github.com/silverwind/default-gateway","https://github.com/silverwind/default-gateway/raw/master/LICENSE","acap-sdk"
"define-properties@1.1.3","MIT","https://github.com/ljharb/define-properties","https://github.com/ljharb/define-properties/raw/master/LICENSE","acap-sdk"
"define-property@0.2.5","MIT","https://github.com/jonschlinkert/define-property","https://github.com/jonschlinkert/define-property/raw/master/LICENSE","class-utils:acap-sdk"
"define-property@1.0.0","MIT","https://github.com/jonschlinkert/define-property","https://github.com/jonschlinkert/define-property/raw/master/LICENSE","base:acap-sdk"
"define-property@2.0.2","MIT","https://github.com/jonschlinkert/define-property","https://github.com/jonschlinkert/define-property/raw/master/LICENSE","acap-sdk"
"del@4.1.1","MIT","https://github.com/sindresorhus/del","https://github.com/sindresorhus/del/raw/master/license","acap-sdk"
"delegates@1.0.0","MIT","https://github.com/visionmedia/node-delegates","https://github.com/visionmedia/node-delegates/raw/master/License","fsevents:watchpack:acap-sdk"
"depd@1.1.2","MIT","https://github.com/dougwilson/nodejs-depd","https://github.com/dougwilson/nodejs-depd/raw/master/LICENSE","acap-sdk"
"des.js@1.0.1","MIT","https://github.com/indutny/des.js","https://github.com/indutny/des.js","acap-sdk"
"destroy@1.0.4","MIT","https://github.com/stream-utils/destroy","https://github.com/stream-utils/destroy/raw/master/LICENSE","acap-sdk"
"detect-file@1.0.0","MIT","https://github.com/doowb/detect-file","https://github.com/doowb/detect-file/raw/master/LICENSE","acap-sdk"
"detect-libc@1.0.3","Apache-2.0","https://github.com/lovell/detect-libc","https://github.com/lovell/detect-libc/raw/master/LICENSE","fsevents:watchpack:acap-sdk"
"detect-node@2.0.4","ISC","https://github.com/iliakan/detect-node","https://github.com/iliakan/detect-node/raw/master/LICENSE","acap-sdk"
"diffie-hellman@5.0.3","MIT","https://github.com/crypto-browserify/diffie-hellman","https://github.com/crypto-browserify/diffie-hellman/raw/master/LICENSE","acap-sdk"
"dns-equal@1.0.0","MIT","https://github.com/watson/dns-equal","https://github.com/watson/dns-equal/raw/master/LICENSE","acap-sdk"
"dns-packet@1.3.1","MIT","https://github.com/mafintosh/dns-packet","https://github.com/mafintosh/dns-packet/raw/master/LICENSE","acap-sdk"
"dns-txt@2.0.2","MIT","https://github.com/watson/dns-txt","https://github.com/watson/dns-txt/raw/master/LICENSE","acap-sdk"
"domain-browser@1.2.0","MIT","https://github.com/bevry/domain-browser","https://github.com/bevry/domain-browser/raw/master/LICENSE.md","acap-sdk"
"duplexify@3.7.1","MIT","https://github.com/mafintosh/duplexify","https://github.com/mafintosh/duplexify/raw/master/LICENSE","acap-sdk"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first","https://github.com/jonathanong/ee-first/raw/master/LICENSE","acap-sdk"
"elliptic@6.5.2","MIT","https://github.com/indutny/elliptic","https://github.com/indutny/elliptic","acap-sdk"
"emoji-regex@7.0.3","MIT","https://github.com/mathiasbynens/emoji-regex","https://github.com/mathiasbynens/emoji-regex/raw/master/LICENSE-MIT.txt","acap-sdk"
"emojis-list@2.1.0","MIT","https://github.com/kikobeats/emojis-list","https://github.com/kikobeats/emojis-list/raw/master/LICENSE.md","acap-sdk"
"encodeurl@1.0.2","MIT","https://github.com/pillarjs/encodeurl","https://github.com/pillarjs/encodeurl/raw/master/LICENSE","acap-sdk"
